S.No,Disease,Symptoms,Treatment,Medicine,Treatment Duration,Medicine Duration
508,Obesity,"Excess weight, fatigue","Diet, exercise, surgery",Orlistat,Long-term,Daily
509,Obstructive Sleep Apnea,"Loud snoring, daytime sleepiness",CPAP machine,None,Lifelong,Not applicable
510,Octopus Syndrome,Muscle spasms (rare disorder),Symptomatic treatment,Muscle relaxants,As needed,As prescribed
511,Ocular Melanoma,"Vision changes, dark spot on iris","Surgery, radiation",None,Several weeks,Not applicable
512,Oligospermia,Low sperm count,Treat underlying cause,Hormonal therapy,Months,Daily/As prescribed
513,Onychomycosis,"Thickened, discolored nails",Antifungal medication,Terbinafine,6–12 weeks,Daily
514,Opioid Use Disorder,"Cravings, withdrawal symptoms","Therapy, medication","Methadone, Buprenorphine",Long-term,Daily
515,Oral Cancer,"Mouth sores, persistent pain","Surgery, chemotherapy",Cisplatin,Months,Per chemo cycle
516,Osteoarthritis,"Joint pain, stiffness","Physical therapy, pain relief","NSAIDs, Acetaminophen",Lifelong,Daily/as needed
517,Osteomyelitis,"Bone pain, fever","Antibiotics, surgery",Vancomycin,4–6 weeks,IV/Oral daily
518,Osteoporosis,"Fragile bones, fractures","Calcium, vitamin D, lifestyle",Bisphosphonates,Long-term,Weekly/Monthly
519,Otitis Media,"Ear pain, fever",Antibiotics,Amoxicillin,5–7 days,Daily
520,Ovarian Cancer,"Abdominal bloating, pelvic pain","Surgery, chemotherapy","Carboplatin, Paclitaxel",Several months,Per chemo protocol
521,Panic Disorder,"Sudden panic attacks, palpitations","Therapy, medications","SSRIs, Benzodiazepines",Months to years,Daily
522,Parkinson’s Disease,"Tremors, slow movement",Dopamine replacement,Levodopa-Carbidopa,Lifelong,Daily
523,Pelvic Inflammatory Disease (PID),"Pelvic pain, fever",Antibiotics,"Doxycycline, Metronidazole",10–14 days,Twice daily
524,Pemphigus Vulgaris,Blistering skin lesions,Immunosuppressants,"Prednisone, Rituximab",Months to years,Daily/IV
525,Peptic Ulcer Disease,"Abdominal pain, nausea","PPIs, antibiotics","Omeprazole, Amoxicillin",2–4 weeks,Daily
526,Peripheral Artery Disease,"Leg pain, numbness","Lifestyle changes, surgery",Antiplatelets,Long-term,Daily
527,Pertussis (Whooping Cough),"Severe cough, vomiting",Antibiotics,Azithromycin,5 days,Once daily
528,Pheochromocytoma,"High BP, headaches",Surgery,None,One-time surgical,Not applicable
529,Phenylketonuria,"Intellectual disability, seizures",Dietary management,None,Lifelong,Not applicable
530,Phlebitis,"Redness, swelling along veins",Anti-inflammatories,NSAIDs,1–2 weeks,Daily
531,Phosphorus Deficiency,"Weak bones, muscle weakness",Supplements,Phosphorus supplements,Weeks to months,Daily
532,Pityriasis Rosea,Rash with herald patch,Supportive care,Antihistamines,4–8 weeks,As needed
533,Plantar Fasciitis,Heel pain,"Physical therapy, orthotics",NSAIDs,Weeks to months,As needed
534,Plasmodium Vivax Malaria,"Fever, chills",Antimalarial drugs,Chloroquine,3 days,Daily
535,Pneumonia,"Fever, cough, chest pain","Antibiotics, antivirals","Amoxicillin, Oseltamivir",5–7 days,Daily
536,Pneumothorax,"Sudden chest pain, shortness of breath",Chest tube drainage,None,Few days,Not applicable
537,Polio,"Muscle weakness, paralysis",Supportive care,None,Long-term,Not applicable
538,Polycystic Kidney Disease,"High BP, kidney failure",BP control,ACE inhibitors,Lifelong,Daily
539,Polycystic Ovary Syndrome (PCOS),"Irregular periods, excess hair",Hormonal therapy,"Metformin, Oral contraceptives",Months to years,Daily
540,Polycythemia Vera,"Headache, dizziness","Phlebotomy, medication",Hydroxyurea,Lifelong,Daily
541,Polymyalgia Rheumatica,"Muscle pain, stiffness",Corticosteroids,Prednisone,1–2 years,Daily
542,Pompe Disease,"Muscle weakness, respiratory issues",Enzyme replacement,Alglucosidase alfa,Lifelong,IV every 2 weeks
543,Post-Traumatic Stress Disorder,"Flashbacks, anxiety","Therapy, medications",SSRIs,Months to years,Daily
544,Pre-eclampsia,"High BP, proteinuria",Delivery of baby,Magnesium sulfate,Acute management,IV for 24–48 hrs
545,Primary Biliary Cholangitis,"Fatigue, itching",Ursodeoxycholic acid,Ursodiol,Lifelong,Daily
546,Primary Hyperparathyroidism,"Bone pain, kidney stones",Surgery,None,One-time surgical,Not applicable
547,Primary Sclerosing Cholangitis,"Jaundice, itching",Liver transplant in severe cases,None,Varies,Not applicable
548,Prion Disease,"Rapid dementia, motor problems",Supportive care,None,Progressive/lifelong,Not applicable
549,Prostate Cancer,"Difficulty urinating, pelvic pain","Surgery, radiation, hormone therapy","Leuprolide, Bicalutamide",Months to years,Monthly injection/Daily
550,Psoriasis,"Scaly, red patches on skin","Topical treatments, phototherapy","Corticosteroids, Vitamin D analogs",Chronic,Daily
551,Pulmonary Embolism,"Sudden shortness of breath, chest pain",Anticoagulants,"Heparin, Warfarin",3–6 months,Daily
552,Pulmonary Fibrosis,"Progressive shortness of breath, dry cough","Antifibrotics, oxygen therapy","Pirfenidone, Nintedanib",Lifelong,Daily
553,Rabies,"Fever, agitation, hydrophobia",Post-exposure prophylaxis,Rabies vaccine,Over 28 days (4 doses),Scheduled
554,Raynaud’s Disease,Cold fingers/toes turning white/blue,"Lifestyle changes, medication",Calcium channel blockers,Long-term,Daily
555,Reactive Arthritis,"Joint pain, eye inflammation","NSAIDs, antibiotics",NSAIDs,Weeks to months,Daily
556,Rectal Prolapse,Protrusion of rectum outside anus,Surgery,None,One-time surgical,Not applicable
557,Renal Failure,"Decreased urine output, swelling","Dialysis, transplant",None,Lifelong,Not applicable
558,Rheumatoid Arthritis,"Joint pain, swelling, stiffness",Immunosuppressants,"Methotrexate, Hydroxychloroquine",Lifelong,Weekly/Daily
559,Rickets,"Bone pain, skeletal deformities",Supplements,Vitamin D,6–12 weeks,Daily
560,Rocky Mountain Spotted Fever,"Fever, rash, headache",Antibiotics,Doxycycline,7–10 days,Twice daily
561,Rotavirus Infection,"Severe diarrhea, vomiting",Hydration,None,2–5 days,Not applicable
562,Rubella,"Rash, fever",Supportive care,None,5–7 days,Not applicable
563,Salmonellosis,"Diarrhea, fever","Hydration, antibiotics",Ciprofloxacin,5–7 days,Twice daily
564,Sarcoidosis,"Lung granulomas, fatigue",Steroids,Prednisone,Several months,Daily
565,Scabies,"Intense itching, rash",Topical scabicides,Permethrin cream,1–2 applications,Once per week
566,Scarlet Fever,"Rash, fever, sore throat",Antibiotics,Penicillin,10 days,Twice daily
567,Schizophrenia,"Hallucinations, delusions",Antipsychotics,"Risperidone, Olanzapine",Lifelong,Daily
568,Scleroderma,"Skin thickening, Raynaud’s phenomenon",Immunosuppressants,"Methotrexate, Cyclophosphamide",Long-term,Weekly/IV
569,Scoliosis,Abnormal curvature of spine,"Bracing, surgery",None,Months to years,Not applicable
570,Seasonal Affective Disorder,Depression in winter,"Light therapy, medications",SSRIs,3–4 months (seasonal),Daily
571,Sepsis,"Fever, rapid heartbeat","Antibiotics, supportive care",Broad-spectrum antibiotics,Acute (7–14 days),IV
572,Shingles,Painful rash along nerve,Antivirals,Acyclovir,7–10 days,3–5 times daily
573,Sickle Cell Anemia,"Anemia, pain crises","Pain management, transfusions",Hydroxyurea,Lifelong,Daily
574,Sinusitis,"Nasal congestion, facial pain","Decongestants, antibiotics",Amoxicillin,7–10 days,Daily
575,Skin Cancer,New or changing skin lesions,"Surgery, chemotherapy",None,Weeks to months,Not applicable
576,Sleep Apnea,"Loud snoring, daytime fatigue",CPAP therapy,None,Lifelong,Not applicable
577,Smallpox,"Fever, rash, pustules",Vaccination (preventive),None,Not needed (eradicated),Not applicable
578,Spina Bifida,"Spine malformation, neurological issues","Surgery, physical therapy",None,Lifelong,Not applicable
579,Spinocerebellar Ataxia,"Coordination problems, speech difficulties",Symptom management,None,Lifelong,Not applicable
580,Spinal Muscular Atrophy,"Muscle weakness, respiratory issues",Supportive care,Nusinersen,Lifelong,Intrathecal (4–6 monthly)
581,Spinal Stenosis,"Back pain, numbness, weakness","Physical therapy, surgery",NSAIDs,Weeks to months,As needed
582,Splenomegaly,"Abdominal pain, fullness",Treat underlying cause,None,Varies,Not applicable
583,Sporotrichosis,"Skin ulcers, nodules",Antifungal therapy,Itraconazole,3–6 months,Daily
584,Staphylococcal Infection,"Skin boils, fever",Antibiotics,"Dicloxacillin, Vancomycin",7–14 days,Daily/IV
585,Status Epilepticus,Prolonged seizures,"Emergency care, anticonvulsants","Diazepam, Phenytoin",Emergency,IV
586,Steatosis (Fatty Liver),"Often asymptomatic, fatigue",Lifestyle changes,None,Long-term,Not applicable
587,Stevens-Johnson Syndrome,"Skin rash, blistering","Hospitalization, supportive care",None,Weeks,Not applicable
588,Stomach Cancer,"Abdominal pain, weight loss","Surgery, chemotherapy",Cisplatin,Months,Per chemo cycle
589,Strep Throat,"Sore throat, fever",Antibiotics,Penicillin,10 days,Twice daily
590,Stroke,"Sudden weakness, speech difficulty",Emergency care,Thrombolytics,Acute (hours–days),One-time IV
591,Subarachnoid Hemorrhage,"Sudden headache, loss of consciousness","Surgery, supportive care",None,Weeks,Not applicable
592,Sudden Infant Death Syndrome (SIDS),Sudden infant death,"Prevention, monitoring",None,Preventive,Not applicable
593,Sunburn,"Redness, pain, blistering","Cooling, pain relief",NSAIDs,2–5 days,As needed
594,Syphilis,"Sores, rash, neurological symptoms",Antibiotics,Penicillin,Single dose to 14 days,As per stage
595,Systemic Lupus Erythematosus (SLE),"Joint pain, rash, fatigue",Immunosuppressants,"Hydroxychloroquine, Steroids",Lifelong,Daily
596,Tetanus,"Muscle stiffness, spasms","Antitoxin, supportive care",Tetanus vaccine,Immediate and preventive,One-time + booster
597,Thalassemia,"Anemia, fatigue",Blood transfusions,None,Lifelong,Not applicable
598,Thyroid Cancer,"Neck lump, voice changes","Surgery, radioactive iodine",None,Weeks–months,Not applicable
599,Thyroiditis,"Neck pain, swelling",Anti-inflammatory drugs,NSAIDs,1–2 weeks,As needed
600,Tinea Versicolor,Discolored patches on skin,Antifungal creams,"Selenium sulfide, Ketoconazole",2–4 weeks,Daily
601,Tonsillitis,"Sore throat, fever","Antibiotics, supportive care",Amoxicillin,7–10 days,Twice daily
602,Toxic Shock Syndrome,"High fever, rash, low blood pressure","Antibiotics, supportive care","Clindamycin, Vancomycin",10–14 days,IV/daily
603,Toxoplasmosis,"Flu-like symptoms, swollen lymph nodes",Antibiotics,"Pyrimethamine, Sulfadiazine",4–6 weeks,Daily
604,Tracheitis,"Cough, fever, difficulty breathing",Antibiotics,"Amoxicillin, Ceftriaxone",7–10 days,Twice daily/IV
605,Trichomoniasis,"Vaginal discharge, itching",Antibiotics,Metronidazole,Single dose or 7 days,Single dose/Twice daily
606,Trigeminal Neuralgia,Severe facial pain,"Medication, surgery","Carbamazepine, Gabapentin",Long-term,Daily
607,Tuberculosis,"Chronic cough, weight loss, night sweats",Long-term antibiotics,"Isoniazid, Rifampin",6–9 months,Daily
608,Tularemia,"Ulcers, fever, swollen lymph nodes",Antibiotics,"Streptomycin, Gentamicin",10–21 days,IV or IM
609,Turner Syndrome,"Short stature, delayed puberty",Hormone therapy,Growth hormone,Years (childhood),Daily
610,Ulcerative Colitis,"Abdominal pain, bloody diarrhea",Anti-inflammatory drugs,"Mesalamine, Prednisone",Lifelong,Daily
611,Ulnar Nerve Entrapment,Numbness in fingers,"Physical therapy, surgery",NSAIDs,Weeks–months,As needed
612,Urinary Tract Infection,Painful urination,Antibiotics,"Nitrofurantoin, Ciprofloxacin",3–7 days,Twice daily
613,Uterine Fibroids,"Heavy periods, pelvic pain","Surgery, medication",GnRH agonists,3–6 months,Monthly (injection)
614,Varicella (Chickenpox),"Itchy rash, fever",Supportive care,Acyclovir,5–7 days,5 times/day
615,Varicocele,"Scrotal swelling, pain",Surgery,None,One-time surgical,Not applicable
616,Vasculitis,"Skin rash, fever",Immunosuppressants,"Prednisone, Cyclophosphamide",Months–years,Daily
617,Venous Thrombosis,"Leg swelling, pain",Anticoagulants,"Heparin, Warfarin",3–6 months,Daily
618,Viral Hepatitis B,"Fatigue, jaundice",Antiviral therapy,"Tenofovir, Entecavir",Months–years,Daily
619,Viral Hepatitis C,"Fatigue, jaundice",Antiviral therapy,"Sofosbuvir, Ledipasvir",8–12 weeks,Daily
620,Vitamin A Deficiency,Night blindness,Supplementation,Vitamin A,2–4 weeks,Weekly/single dose
621,Vitamin B12 Deficiency,"Fatigue, nerve issues",Supplementation,Cyanocobalamin,Weeks–months,Weekly (injection)
622,Vitamin D Deficiency,"Bone pain, fatigue",Supplementation,Vitamin D3,6–8 weeks,Weekly/daily
623,Vulvovaginitis,"Vaginal itching, discharge",Antifungal/antibiotic creams,"Clotrimazole, Metronidazole",3–7 days,Twice daily
624,Waldenström’s Macroglobulinemia,"Fatigue, bleeding",Chemotherapy,Rituximab,Months–years,IV (cycle based)
625,Wallenberg Syndrome,"Vertigo, swallowing issues",Supportive care,None,Lifelong,Not applicable
626,Warts,Skin lesions,"Cryotherapy, topical agents",Salicylic acid,2–3 weeks,Daily
627,Wegener’s Granulomatosis,"Sinusitis, kidney problems",Immunosuppressants,"Cyclophosphamide, Rituximab",Months–years,Weekly/IV
628,West Nile Virus Infection,"Fever, rash",Supportive care,None,1–2 weeks,Not applicable
629,Whipple’s Disease,"Weight loss, diarrhea",Antibiotics,"Ceftriaxone, Trimethoprim",12 months,Daily
630,Wilson’s Disease,"Liver, neurological symptoms",Chelation therapy,Penicillamine,Lifelong,Daily
631,Wiskott-Aldrich Syndrome,"Eczema, low platelets",Bone marrow transplant,None,One-time transplant,Not applicable
632,Wolff-Parkinson-White Syndrome,"Palpitations, dizziness",Ablation therapy,Antiarrhythmics,One-time treatment,As needed
633,Xeroderma Pigmentosum,Sun sensitivity,Sun protection,None,Lifelong,Not applicable
634,Yellow Fever,"Fever, jaundice",Supportive care,None,7–10 days,Not applicable
635,Zika Virus Infection,"Fever, rash, joint pain",Supportive care,None,7–10 days,Not applicable
636,Zollinger-Ellison Syndrome,"Peptic ulcers, diarrhea",Proton pump inhibitors,Omeprazole,Long-term,Daily
637,Zoonotic Tuberculosis,"Cough, weight loss",Antibiotics,"Isoniazid, Rifampin",6–9 months,Daily
638,Achondroplasia,"Short stature, limb abnormalities",Supportive care,None,Lifelong,Not applicable
639,Acute Lymphoblastic Leukemia,"Fatigue, bruising",Chemotherapy,"Vincristine, Methotrexate",Years (phased),IV/oral cycles
640,Acute Myeloid Leukemia,"Fatigue, infections",Chemo + Bone marrow transplant,"Cytarabine, Daunorubicin",Months–years,IV/oral
641,Addison’s Disease,"Fatigue, low BP",Hormone replacement,Hydrocortisone,Lifelong,Daily
642,Age-related Macular Degeneration,Central vision loss,Anti-VEGF injections,"Ranibizumab, Aflibercept",Ongoing,Monthly injection
643,Alcoholic Liver Disease,"Fatigue, jaundice","Abstinence, supportive care",None,Lifelong,Not applicable
644,Amyloidosis,"Fatigue, swelling",Chemotherapy,Melphalan,Months–years,Oral/IV
645,Anaphylaxis,"Rapid swelling, breathing difficulty",Emergency epinephrine,Epinephrine,Emergency,Single injection
646,Angelman Syndrome,"Developmental delay, seizures",Supportive care,None,Lifelong,Not applicable
647,Ankylosing Spondylitis,"Back pain, stiffness","NSAIDs, physiotherapy",NSAIDs,Lifelong,As needed
648,Antiphospholipid Syndrome,"Blood clots, miscarriages",Anticoagulants,Warfarin,Lifelong,Daily
649,Aortic Aneurysm,Chest/back pain,Surgery,None,One-time surgical,Not applicable
650,Aplastic Anemia,"Fatigue, infections",Immunosuppressants,Cyclosporine,Months–years,Daily
651,Asperger Syndrome,"Social difficulties, repetitive behaviors",Behavioral therapy,None,Long-term,Not applicable
652,Asthma,"Wheezing, breathlessness","Inhalers, corticosteroids","Albuterol, Fluticasone",Long-term,As needed/Daily
653,Ataxia Telangiectasia,"Poor coordination, immune deficiency",Supportive care,None,Lifelong,Not applicable
654,Atrial Fibrillation,"Palpitations, fatigue","Rate control, anticoagulants","Beta-blockers, Warfarin",Long-term,Daily
655,Autism Spectrum Disorder,"Social, communication issues",Behavioral therapy,None,Long-term,Not applicable
656,Autoimmune Hepatitis,"Fatigue, jaundice",Immunosuppressants,"Prednisone, Azathioprine",Months–years,Daily
657,Bacterial Meningitis,"Headache, fever, stiff neck",Antibiotics,"Ceftriaxone, Vancomycin",7–21 days,IV daily
658,Bell’s Palsy,Sudden facial paralysis,"Steroids, antivirals",Prednisone,7–10 days,Daily
659,Benign Prostatic Hyperplasia,Frequent urination,"Medication, surgery","Tamsulosin, Finasteride",Long-term,Daily
660,Bipolar Disorder,"Mood swings, depression",Mood stabilizers,"Lithium, Valproate",Long-term,Daily
661,Bladder Cancer,"Blood in urine, pelvic pain","Surgery, chemotherapy",Cisplatin,Depends on stage,IV cycles
662,Blepharitis,Eyelid inflammation,"Hygiene, antibiotics",Azithromycin eye drops,Weeks–months,Twice daily
663,Botulism,"Muscle weakness, paralysis",Antitoxin,Botulinum antitoxin,One-time (emergency),Single dose
664,Brain Tumor,"Headache, seizures","Surgery, radiation",Chemotherapy,Depends on type,IV/oral cycles
665,Bronchiectasis,Persistent cough,"Antibiotics, physiotherapy",None,Chronic,As needed
666,Bronchitis,"Cough, mucus",Supportive care,None,7–10 days,Not applicable
667,Brucellosis,"Fever, joint pain",Antibiotics,"Doxycycline, Rifampin",6 weeks,Daily
668,Bulimia Nervosa,"Binge eating, purging","Therapy, medications",SSRIs,Months–years,Daily
669,Bursitis,"Joint pain, swelling","NSAIDs, rest",NSAIDs,1–2 weeks,As needed
670,Candidiasis,"White patches, itching",Antifungal therapy,Fluconazole,7–14 days,Daily
671,Carpal Tunnel Syndrome,"Hand tingling, numbness","Splints, surgery",NSAIDs,2–4 weeks,As needed
672,Cataracts,Blurred vision,Surgery,None,One-time (surgical),Not applicable
673,Celiac Disease,"Diarrhea, bloating",Gluten-free diet,None,Lifelong,Not applicable
674,Cerebral Palsy,Motor impairment,Supportive care,None,Lifelong,Not applicable
675,Cervical Cancer,"Vaginal bleeding, pain","Surgery, chemotherapy",Cisplatin,Depends on stage,IV cycles
676,Chickenpox,"Itchy rash, fever",Supportive care,Acyclovir,5–7 days,5 times/day
677,Chlamydia,"Genital discharge, burning",Antibiotics,"Azithromycin, Doxycycline",Single dose or 7 days,Single dose or twice/day
678,Chronic Fatigue Syndrome,"Fatigue, memory issues",Supportive care,None,Long-term,Not applicable
679,Chronic Kidney Disease,"Fatigue, swelling","Dialysis, transplant",None,Lifelong,Not applicable
680,COPD,"Breathlessness, chronic cough","Inhalers, oxygen therapy","Bronchodilators, Steroids",Long-term,Daily
681,Cirrhosis,"Jaundice, fluid retention","Treat cause, transplant",None,Lifelong,Not applicable
682,Cluster Headache,Severe headache,"Oxygen, pain relief",Sumatriptan,As needed,Per attack
683,Clostridium difficile Infection,"Diarrhea, cramps",Antibiotics,"Vancomycin, Metronidazole",10–14 days,Daily
684,Coccidioidomycosis,"Fever, cough",Antifungals,"Fluconazole, Amphotericin B",Weeks–months,Daily/IV
685,Colorectal Cancer,"Blood in stool, weight loss","Surgery, chemotherapy",5-Fluorouracil,Depends on stage,IV/oral cycles
686,Common Cold,"Runny nose, sneezing",Supportive care,None,5–7 days,Not applicable
687,Congestive Heart Failure,"Breathlessness, edema","Diuretics, lifestyle","Furosemide, ACE inhibitors",Lifelong,Daily
688,Conjunctivitis,"Red eye, discharge",Antibiotics (if bacterial),Erythromycin eye drops,5–7 days,3–4 times/day
689,Coronary Artery Disease,"Chest pain, breathlessness","Lifestyle, medications","Statins, Beta blockers",Lifelong,Daily
690,Creutzfeldt-Jakob Disease,"Rapid dementia, muscle twitching",Supportive care,None,Lifelong,Not applicable
691,Crohn’s Disease,"Diarrhea, abdominal pain",Anti-inflammatory meds,"Corticosteroids, Immunomodulators",Long-term,Daily
692,Cushing’s Syndrome,"Weight gain, round face","Surgery, medications",Ketoconazole,Months,Daily
693,Cyclothymic Disorder,Mood swings,"Therapy, mood stabilizers",Mood stabilizers,Long-term,Daily
694,Dandruff,"Itchy scalp, flakes",Medicated shampoo,Ketoconazole shampoo,Weekly,2–3 times/week
695,Dehydration,"Dry mouth, weakness",Oral fluids,ORS (Oral Rehydration Salts),1–3 days,As needed
696,Dementia,"Memory loss, confusion",Supportive care,Donepezil,Long-term,Daily
697,Dengue Fever,"Fever, rash",Supportive care,None,7–10 days,Not applicable
698,Depression,"Low mood, sadness","Therapy, antidepressants",SSRIs,Months–years,Daily
699,Dermatitis,"Itchy skin, rash",Topical steroids,Hydrocortisone,1–2 weeks,Twice daily
700,Diabetes Mellitus Type 1,"Frequent urination, weight loss",Insulin therapy,Insulin,Lifelong,Daily (multiple times)
701,Diabetes Mellitus Type 2,"Increased thirst, frequent urination","Lifestyle changes, medication","Metformin, Sulfonylureas",Lifelong,Daily
702,Diabetic Retinopathy,"Vision loss, floaters","Laser therapy, surgery",None,As needed,Not applicable
703,Diarrhea,Frequent loose stools,Rehydration,Oral rehydration salts,1–3 days,As needed
704,Diphtheria,"Sore throat, thick membrane on tonsils","Antitoxin, antibiotics","Erythromycin, Penicillin",14 days,Daily
705,Discoid Lupus Erythematosus,"Red, scaly skin lesions","Steroids, immunosuppressants",Topical corticosteroids,Weeks–months,1–2 times/day
706,Diverticulitis,"Abdominal pain, fever","Antibiotics, diet changes",Ciprofloxacin,7–10 days,Daily
707,Down Syndrome,"Intellectual disability, facial features",Supportive care,None,Lifelong,Not applicable
708,Duchenne Muscular Dystrophy,"Muscle weakness, walking difficulty","Physical therapy, steroids",Prednisone,Lifelong,Daily
709,Dysentery,"Bloody diarrhea, abdominal cramps",Antibiotics,Ciprofloxacin,3–5 days,Twice daily
710,Eczema,"Itchy, inflamed skin","Moisturizers, corticosteroids","Hydrocortisone, Tacrolimus",Weeks–months,Daily or as needed
711,Edwards Syndrome (Trisomy 18),"Developmental delay, heart defects",Supportive care,None,Lifelong,Not applicable
712,Ehlers-Danlos Syndrome,"Hyper-flexible joints, fragile skin",Symptomatic treatment,None,Lifelong,Not applicable
713,Encephalitis,"Fever, confusion, seizures",Antiviral drugs,Acyclovir,10–14 days,"IV, multiple times/day"
714,Endometriosis,"Pelvic pain, heavy periods","Pain management, surgery","NSAIDs, Hormonal therapy",Months–years,Daily
715,Epididymitis,"Scrotal pain, swelling",Antibiotics,Doxycycline,10–14 days,Twice daily
716,Epilepsy,"Seizures, unconsciousness",Antiepileptic drugs,"Phenytoin, Valproate",Long-term,Daily
717,Erectile Dysfunction,Difficulty maintaining erection,"Medication, therapy","Sildenafil, Tadalafil",As needed,Before intercourse
718,Esophageal Cancer,"Difficulty swallowing, weight loss","Surgery, chemotherapy",Cisplatin,Depends on stage,IV cycles
719,Esophagitis,"Heartburn, chest pain",Acid reducers,Proton pump inhibitors,2–8 weeks,Daily
720,Essential Tremor,Shaking during movement,"Beta blockers, therapy",Propranolol,As needed,Daily
721,Ewing’s Sarcoma,"Bone pain, swelling","Chemotherapy, surgery",Vincristine,Months,IV cycles
722,Fibromyalgia,"Widespread pain, fatigue",Pain management,"Pregabalin, Duloxetine",Long-term,Daily
723,Fibroids (Uterine),"Heavy bleeding, pelvic pressure","Surgery, medication",GnRH agonists,Months,Daily
724,Fifth Disease (Erythema Infectiosum),"Rash on cheeks, mild fever",Supportive care,None,1–2 weeks,Not applicable
725,Folliculitis,"Red bumps, sores","Antibiotics, hygiene",Mupirocin,5–10 days,Twice daily
726,Food Poisoning,"Nausea, diarrhea, vomiting",Rehydration,None,1–3 days,Not applicable
727,Fragile X Syndrome,"Intellectual disability, behavior issues",Supportive care,None,Lifelong,Not applicable
728,Gallstones,"Abdominal pain, nausea",Surgery,None,One-time (surgical),Not applicable
729,Gangrene,"Tissue death, blackened skin","Surgery, antibiotics",Broad-spectrum antibiotics,Varies,IV daily
730,Gastritis,"Stomach pain, nausea","Antacids, PPIs",Omeprazole,2–8 weeks,Daily
731,Gastroenteritis,"Diarrhea, vomiting",Rehydration,None,1–3 days,Not applicable
732,GERD (Gastroesophageal Reflux Disease),"Heartburn, regurgitation","Lifestyle changes, medication",Proton pump inhibitors,Weeks–months,Daily
733,Generalized Anxiety Disorder (GAD),"Excessive worry, restlessness","Therapy, medication",SSRIs,Months–years,Daily
734,Glaucoma,"Vision loss, eye pressure","Eye drops, surgery","Timolol, Latanoprost",Lifelong,Daily
735,Glioblastoma,"Headaches, deficits","Surgery, radiation",Temozolomide,Depends on case,Cyclic
736,Gout,"Joint pain, swelling","NSAIDs, lifestyle changes",Allopurinol,Long-term,Daily
737,Graves’ Disease,"Weight loss, bulging eyes",Antithyroid drugs,Methimazole,12–18 months,Daily
738,Guillain-Barré Syndrome,"Weakness, paralysis",Supportive care,IVIG,5–7 days,Daily (IV)
739,"Hand, Foot, and Mouth Disease","Fever, mouth sores, rash",Supportive care,None,5–7 days,Not applicable
740,Hashimoto’s Thyroiditis,"Fatigue, weight gain",Hormone replacement,Levothyroxine,Lifelong,Daily
741,Hay Fever (Allergic Rhinitis),"Sneezing, itchy eyes",Antihistamines,"Loratadine, Cetirizine",Seasonal/Chronic,Daily
742,Headache (Tension-type),Mild-moderate head pain,Pain relievers,"Ibuprofen, Acetaminophen",As needed,As needed
743,Hearing Loss,Difficulty hearing,Hearing aids,None,Lifelong,Not applicable
744,Heart Attack (Myocardial Infarction),"Chest pain, breathlessness",Emergency care,"Aspirin, Nitroglycerin",Immediate,Single dose or daily
745,Heart Valve Disease,"Shortness of breath, fatigue",Surgery,None,One-time (surgical),Not applicable
746,Hemophilia,Excessive bleeding,Clotting factor replacement,Factor VIII or IX,Lifelong,As needed
747,Hepatitis A,"Fever, jaundice",Supportive care,None,2–4 weeks,Not applicable
748,Hepatitis B,"Fatigue, jaundice",Antiviral drugs,"Tenofovir, Entecavir",Months–years,Daily
749,Hepatitis C,"Fatigue, jaundice",Antiviral drugs,Sofosbuvir,8–12 weeks,Daily
750,Herpes Simplex Virus (HSV) Infection,Painful sores,Antiviral therapy,Acyclovir,5–10 days,3–5 times/day
751,Herpes Zoster (Shingles),"Painful rash, blisters",Antiviral therapy,"Acyclovir, Valacyclovir",7–10 days,5–7 days
752,Hiatal Hernia,"Heartburn, chest pain","Lifestyle changes, medication","Antacids, Proton pump inhibitors",Long-term,Daily or as needed
753,Histoplasmosis,"Fever, cough",Antifungal therapy,Itraconazole,Weeks–months,Daily
754,Hodgkin’s Lymphoma,"Swollen lymph nodes, fever","Chemotherapy, radiation",ABVD regimen,Months,IV cycles
755,HIV (Human Immunodeficiency Virus),"Fever, weight loss, infections",Antiretroviral therapy (ART),ART combinations,Lifelong,Daily
756,Huntington’s Disease,"Involuntary movements, cognitive decline",Supportive care,None,Lifelong,Not applicable
757,Hyperthyroidism,"Weight loss, heat intolerance","Medication, surgery","Methimazole, Propylthiouracil",Months–years,Daily
758,Hypothyroidism,"Fatigue, weight gain",Hormone replacement therapy,Levothyroxine,Lifelong,Daily
759,Impetigo,"Red sores, crusty lesions",Antibiotics,"Mupirocin, Dicloxacillin",7–10 days,2–3 times/day
760,Influenza (Flu),"Fever, cough, muscle aches","Supportive care, antivirals",Oseltamivir,5 days,Twice daily
761,Insomnia,Difficulty sleeping,"Sleep hygiene, medication",Zolpidem,Short-term,Nightly as needed
762,Interstitial Lung Disease,"Dry cough, shortness of breath","Steroids, immunosuppressants",Prednisone,Weeks–months,Daily
763,Irritable Bowel Syndrome (IBS),"Abdominal pain, bloating","Diet changes, medication",Antispasmodics,Long-term,As needed
764,Iron Deficiency Anemia,"Fatigue, pallor",Iron supplements,Ferrous sulfate,1–3 months,Daily
765,Juvenile Diabetes (Type 1),"Increased thirst, frequent urination",Insulin therapy,Insulin,Lifelong,Daily
766,Kawasaki Disease,"Fever, rash, lymph swelling",IVIG therapy,Intravenous immunoglobulin,1–2 days,Once (IV)
